geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
brn,Brunei,,,,,,1.02,3.3,4.83,6.28,7.67,8.99628,12.91777,15.32988,19.595,29.7156,36.46639,42.18635,44.68,46,49,53,56,60.2731,64.5,68.77,71.2,90,94.8667,95,95,96.3055,97.6288,98.97043,98.9704,96.29829,
btn,Bhutan,,,,,,,,,,0.138,0.40094,0.86463,1.6758,2.43691,3.15698,3.8471,4.5183,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5032,54.3355,63.4868,74.1794,76.8508,85.63688,88.3562,90.0214,91.2774,
bwa,Botswana,,,,,,0.0645,0.157,0.308,0.602,1.12,2.90267,3.43089,3.38592,3.34519,3.30489,3.2626,4.28993,5.28,6.25,6.15,6,9,16,30,36.74475,38.8938,41.1686,43.5764,46.1251,48.8228,51.6782,54.7007,57.9,,57.4595,
caf,Central African Republic,,,,,,,0.00585,0.0143,0.0279,0.0409,0.05339,0.07854,0.12854,0.15156,0.2234,0.2682,0.3112,0.37582,1,1.8,2,2.2,2.4,2.5,2.7,2.9,3.1,4,5.1,7.5092,,,13.7536,13.8417,13.7825,
can,Canada,0.361,0.57,0.916,1.18,2.38,4.16,6.76,15.1,24.9,36.2,51.3,60.2,61.5933,64.2,65.95596,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16,92.7014,94.64,91.9129,92.3,93.9371,94,94.1453,94.3533,
che,Switzerland,0.596,1.18,1.75,2.17,2.72,3.55,4.55,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19303,85.2,86.34,83.61725,87.47906,89.13469,89.68615,91.8,93.14609,94.35,95.56937,96.4528,97.34437,97.3444,97.32104
chl,Chile,,,0.0365,0.0718,0.141,0.347,0.683,1.06,1.66,4.1,16.6,19.1,22.1,25.47378,28.17791,31.1753,34.49775,35.9,37.3,41.56,45,52.24961,55.05,58,61.11,76.62959,83.55859,82.32749,84.9,85.0176,87.4593,90.2328,92.3182,94.45742,95.59024,
chn,China,,,,0.00017,0.00117,0.00495,0.0131,0.0324,0.169,0.708,1.77591,2.63965,4.5957,6.2,7.3,8.52326,10.52315,16,22.6,28.9,34.3,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,65.3584,64.08088,70.05276,73.05324,75.61132,90.6,92,91.6
civ,Cote d'Ivoire,,,,,,0.0002,0.00841,0.0188,0.061,0.119,0.23146,0.39575,0.49793,0.75867,0.84928,1.0392,1.5249,1.8,1.9,2,2.7,2.9,4.4,6.6,10,38.44,41.20781,43.83992,37.54654,36.28895,36.0166,35.9507,38.41328,40.65285,41.4322,
cmr,Cameroon,,,,,,,,0.00677,0.0132,0.129,0.25212,0.27705,0.36087,0.58762,0.97608,1.4027,2.0287,2.93,3.4,3.84,4.3,5,7.5,10,16.21487,18.3,20.6,23.20297,29.7,36.5392,37.6975,38.8926,40.1256,42.2438,46.2588,
